Position,Rank,Player,Team,Opponent,Estimated FP,Yahoo FPPG,Salary,FP / salary,Role,Role slot,Depth,Kickoff UTC,Projection method
RB,9,James Cook III,BUF,HOU,15.19,16.05,31,0.49,starter,RB slot 11,1,2026-09-13 17:00,market good: Bovada+Underdog
RB,10,Ashton Jeanty,LV,MIA,15.09,12.8,33,0.457,starter,RB slot 11,1,2026-09-13 20:25,market good: Bovada+Underdog
RB,11,Omarion Hampton,LAC,ARI,14.87,11.96,29,0.513,starter,RB slot 11,1,2026-09-13 20:25,market good 80% audit: Bovada+Underdog
RB,12,Javonte Williams,DAL,NYG,14.75,14.08,29,0.509,starter,RB slot 11,1,2026-09-14 00:20,market good: Bovada+Underdog
RB,13,Kenneth Walker,KC,DEN,14.74,12.33,35,0.421,starter,RB slot 11,1,2026-09-15 00:15,market good: Bovada+Underdog
RB,14,Breece Hall,NYJ,TEN,14.4,11.85,27,0.533,starter,RB slot 11,1,2026-09-13 17:00,market good: Bovada+Underdog
RB,15,Travis Etienne Jr.,NO,DET,14.13,14.22,30,0.471,starter,RB slot 11,1,2026-09-13 17:00,market good: Bovada+Underdog
RB,16,D'Andre Swift,CHI,CAR,13.78,13.08,28,0.492,starter,RB slot 11,1,2026-09-13 17:00,market good: Bovada+Underdog
RB,17,Kyren Williams,LA,SF,12.61,14.93,36,0.35,starter,RB slot 11,1,2026-09-11 00:35,market good: Bovada+Underdog
RB,18,Cam Skattebo,NYG,DAL,12.56,14.46,31,0.405,starter,RB slot 11,1,2026-09-14 00:20,market good: Bovada+Underdog
RB,19,Bucky Irving,TB,CIN,12.54,12.35,25,0.502,starter,RB slot 11,1,2026-09-13 17:00,market good: Bovada+Underdog
RB,20,Rhamondre Stevenson,NE,SEA,11.89,12.0,26,0.457,starter,RB slot 11,1,2026-09-10 00:20,70% FPPG + 30% salary prior
RB,21,Jaylen Warren,PIT,ATL,11.73,11.9,27,0.434,starter,RB slot 11,1,2026-09-13 17:00,market good: Bovada+Underdog
RB,22,David Montgomery,HOU,BUF,11.53,9.11,20,0.576,starter,RB slot 11,1,2026-09-13 17:00,market good 80% audit: Bovada+Underdog
RB,23,Quinshon Judkins,CLE,JAC,11.3,11.2,24,0.471,starter,RB slot 11,1,2026-09-13 17:00,market good: Bovada+Underdog
RB,24,Tony Pollard,TEN,NYJ,10.82,9.96,22,0.492,starter,RB slot 11,1,2026-09-13 17:00,market good: Bovada+Underdog
RB,25,Chuba Hubbard,CAR,CHI,10.81,8.08,18,0.6,starter,RB slot 11,1,2026-09-13 17:00,market good 65% audit: Bovada+Underdog
